,title,author,publication_day,publication_month,publication_year,format,current_price,original_price
64,Dear Zoo,Rod Campbell,8,5,2007,Board book,7.65,7.65
65,"My Hero Academia, Vol. 29",Kohei Horikoshi,30,9,2021,Paperback,9.77,9.99
66,The Power of Now,Eckhart Tolle,7,1,2016,Paperback,13.46,19.75
67,Hamnet,Maggie O'Farrell,15,4,2021,Paperback,15.83,15.83
68,Ugly Love,Colleen Hoover,21,1,2016,Paperback,13.87,15.5
69,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,Mo Xiang Tong Xiu,15,3,2022,Paperback,17.89,19.99
70,Start With Why,Simon Sinek,11,10,2011,Paperback,12.49,21.75
71,A Little Life,Hanya Yanagihara,10,3,2017,Paperback,16.08,16.08
72,Circe,Madeline Miller,24,4,2019,Paperback,13.47,13.72
73,Animal Farm,George Orwell,1,10,2008,Paperback,7.26,17.75
74,Attached,Amir Levine,22,8,2019,Paperback,15.46,15.46
75,Dune Messiah,Frank Herbert,16,5,2018,Paperback,15.41,15.41
76,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Mo Xiang Tong Xiu,15,2,2022,Paperback,17.89,19.99
77,Shuggie Bain,Douglas Stuart,15,4,2021,Paperback,12.33,12.35
78,We Were Liars,E. Lockhart,13,5,2014,Paperback,14.17,14.17
79,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,Mo Xiang Tong Xiu,17,5,2022,Paperback,17.89,19.99
80,The Man Who Died Twice,Richard Osman,16,9,2021,Hardback,26.32,26.32
81,The Alchemist,Paulo Coelho,1,6,2020,Paperback,8.92,8.99
82,Bewilderment,Richard Powers,21,9,2021,Hardback,24.05,26.09
83,The Fortune Men,Nadifa Mohamed,27,5,2021,Hardback,21.47,21.47
84,If We Were Villains,M. L. Rio,13,6,2017,Paperback,14.27,14.27
85,Crooked Kingdom Collector's Edition,Leigh Bardugo,5,9,2019,Hardback,21.59,23.34
87,Have You Filled A Bucket Today?,Carol McCloud,1,10,2015,Paperback,9.77,9.95
88,Meine Reise durch Europa,Rita Berman,30,9,2021,Paperback,10.34,10.34
89,This is Going to Hurt,Adam Kay,19,4,2018,Paperback,12.84,12.84
