,title,author,publication_date,format,current_price,original_price
914,Dessert Person,Claire Saffitz,20 Oct 2020,Hardback,US$35.02,US$35.02
915,What Colour Is Your Parachute? 2021,Richard N. Bolles,22 Dec 2020,Paperback,US$17.60,US$19.99
916,"Undead Unluck, Vol. 3",Yoshifumi Tozuka,14 Oct 2021,Paperback,US$10.31,US$10.31
917,"Spy x Family, Vol. 5",Tatsuya Endo,08 Jul 2021,Paperback,US$10.31,US$10.31
918,"My Hero Academia, Vol. 27",Kohei Horikoshi,10 Jun 2021,Paperback,US$9.57,US$9.99
919,Unsettled,Steven E. Koonin,04 May 2021,Hardback,US$23.18,US$24.95
920,The Phoenix Project,Gene Kim,27 Feb 2018,Paperback,US$23.12,US$24.00
921,The Magdalen Manuscript: The Alchemies of Horus & the Sex Magic of Isis,Tom Kenyon,01 Jan 2002,Paperback,US$21.93,US$21.93
922,The Labyrinth: Winner of the 2021 Miles Franklin,Amanda Lohrey,04 Aug 2020,Paperback,US$30.91,US$30.91
923,"The Good Enough Parent: How to raise contented, interesting and resilient children",The School of Life,19 Apr 2022,Hardback,US$28.23,US$28.23
924,The Seven Spiritual Laws of Success,Deepak Chopra,09 Mar 2015,Paperback,US$8.20,US$8.95
925,Frankenstein,Mary Shelley,01 Aug 1997,Paperback,US$4.30,US$5.99
926,Moby Dick,Herman Melville,01 Dec 1999,Paperback,US$6.01,US$6.01
927,The One Thing,Gary Keller,10 May 2016,Paperback,US$15.30,US$15.30
928,The Miracle Of Mindfulness,Thich Nhat Hanh,07 Feb 2008,Paperback,US$14.65,US$14.65
929,The PodyCharts foot charts for reflexology,Annie Trigg,31 Jul 2021,Paperback,US$51.60,US$51.60
930,The Invisible Life of Addie LaRue Export Edition,V. E. Schwab,08 Oct 2020,Paperback,US$24.15,US$24.15
931,Healing Is the New High,Vex King,13 Apr 2021,Paperback,US$20.24,US$20.24
932,Moonology (TM) Manifestation Oracle,Yasmin Boland,19 Oct 2021,Cards,US$19.68,US$21.99
933,The Denial of Death,Ernest Becker,05 Mar 2020,Paperback,US$15.13,US$15.13
934,The Disney Book of Maps,,01 Oct 2020,Hardback,US$22.77,US$22.77
935,The Humans,Matt Haig,09 Aug 2018,Paperback,US$14.24,US$14.24
936,Rick Stein at Home,Rick Stein,30 Nov 2021,Hardback,US$37.84,US$49.95
937,Eat to Beat Disease: The Body's Five Defence Systems and the Foods that Could Save Your Life,Dr William Li,03 May 2019,Paperback,US$24.01,US$24.01
938,The Girl in The Tower,Katherine Arden,09 Aug 2018,Paperback,US$19.99,US$19.99
939,The Three-Body Problem,Cixin Liu,01 Feb 2016,Paperback,US$13.54,US$13.54
940,The Gifts of Imperfection,Brene Brown,08 Sep 2020,Hardback,US$21.06,US$21.06
941,The Second Sex (Vintage Feminism Short Edition),Simone de Beauvoir,05 Mar 2015,Paperback,US$6.72,US$6.86
942,A Vindication of the Rights of Woman (Vintage Feminism Short Edition),Mary Wollstonecraft,05 Mar 2015,Paperback,US$6.67,US$8.95
943,The Rise of the Ultra Runners,Adharanand Finn,02 Apr 2020,Paperback,US$12.71,US$13.72
944,How to Stop Time,Matt Haig,01 Jan 2018,Paperback,US$14.22,US$14.22
945,At Night All Blood is Black,David Diop,06 May 2021,Paperback,US$14.42,US$14.42
946,LEGO (R): Official Annual 2022 (with Tread Octane minifigure),Buster Books,16 Sep 2021,Hardback,US$11.26,US$11.26
947,The Kids' Book of Crosswords 1,Gareth Moore,06 Apr 2017,Paperback,US$4.59,US$5.48
948,The Fast 800,Dr Michael Mosley,02 Jan 2019,Paperback,US$18.45,US$18.45
949,Mortals,Rachel Menzies,14 Sep 2021,Paperback,US$37.60,US$37.60
950,"Kinship: Belonging in a World of Relations, 5-Volume Set",,18 Nov 2021,Paperback,US$69.36,US$100.00
951,Boyfriend Material,Alexis Hall,07 Aug 2020,Paperback,US$15.56,US$15.56
952,"Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,13 Feb 2015,Hardback,US$26.20,US$32.00
953,Vinland Saga 1,Makoto Yukimura,25 Jul 2019,Hardback,US$23.02,US$23.02
954,StrengthsFinder 2.0,Gallup,24 Jul 2015,Hardback,US$30.98,US$39.99
955,Mycelium Running,Paul Stamets,10 Oct 2017,Paperback,US$36.59,US$36.59
956,Layla,Colleen Hoover,08 Dec 2020,Paperback,US$12.51,US$14.95
957,The Sun Dog,Stephen King,09 Sep 2021,Paperback,US$11.21,US$11.21
958,Kingdom of the Wicked,Kerri Maniscalco,28 Sep 2021,Paperback,US$10.73,US$12.35
959,Vaxxers,Sarah Gilbert,15 Feb 2022,Hardback,US$22.45,US$28.99
960,Lily's Promise,Lily Ebert,02 Sep 2021,Hardback,US$25.34,US$26.09
961,Cinderella Is Dead,Kalynn Bayron,06 Aug 2020,Paperback,US$10.88,US$10.98
962,A Court of Silver Flames,Sarah J. Maas,16 Feb 2021,Hardback,US$26.44,US$26.44
963,Indistractable,Nir Eyal,06 Feb 2020,Paperback,US$15.22,US$15.22
964,A Tale of Magic: A Tale of Sorcery,Chris Colfer,30 Sep 2021,Hardback,US$18.20,US$18.20
965,Plague of Corruption,Judy Mikovits,30 Sep 2021,Paperback,US$18.57,US$19.99
966,The Boy At the Back of the Class,Onjali Q. Rauf,12 Jul 2018,Paperback,US$9.59,US$10.98
967,The Pearl Sister,Lucinda Riley,05 Apr 2018,Paperback,US$18.90,US$18.90
968,A Squash and a Squeeze,Julia Donaldson,23 Sep 2016,Paperback,US$12.20,US$12.75
969,Oh Crap! Potty Training,Jamie Glowacki,26 Jul 2018,Paperback,US$14.95,US$16.99
970,Exciting Times,Naoise Dolan,04 Mar 2021,Paperback,US$16.02,US$16.02
971,Home Stretch,Graham Norton,29 Apr 2021,Paperback,US$15.89,US$15.89
972,Legendary,Stephanie Garber,21 Feb 2019,Paperback,US$13.86,US$13.86
973,Make Your Bed,Admiral William H. McRaven,25 May 2017,Hardback,US$17.34,US$20.00
974,What Really Happened In Wuhan,Sharri Markson,30 Sep 2021,Hardback,US$25.95,US$28.99
975,The Henna Wars,Adiba Jaigirdar,07 Jan 2021,Paperback,US$14.33,US$14.33
976,Grains of Gold Coloring Book,Hanna Karlzon,31 Aug 2021,Hardback,US$18.81,US$18.81
977,"Haikyu!!, Vol. 1",Haruichi Furudate,28 Jul 2016,Paperback,US$20.29,US$20.29
978,Smashed: Junji Ito Story Collection,Junji Ito,16 May 2019,Hardback,US$21.98,US$22.99
979,Gyo (2-in-1 Deluxe Edition),Junji Ito,07 May 2015,Hardback,US$26.72,US$26.72
980,"One Piece (Omnibus Edition), Vol. 2",Eiichiro Oda,18 Aug 2011,Paperback,US$28.95,US$28.95
981,Live Beautiful,Athena Calderone,03 Mar 2020,Hardback,US$42.32,US$42.32
982,A Song for the Dark Times,Ian Rankin,29 Apr 2021,Paperback,US$15.24,US$15.24
983,Harry Potter and the Deathly Hallows,J.K. ROWLING,01 Sep 2014,Paperback,US$14.27,US$14.27
984,The Love Hypothesis,Ali Hazelwood,21 Oct 2021,Paperback,US$13.00,US$13.00
985,The Assassin's Blade,Sarah J. Maas,13 Mar 2015,Paperback,US$13.67,US$13.67
986,Zog and the Flying Doctors,Julia Donaldson,07 Sep 2017,Paperback,US$15.74,US$15.74
987,Where's Wally?,Martin Handford,26 Jul 2011,Paperback,US$9.46,US$9.46
988,Guess How Much I Love You,Sam McBratney,19 Dec 2014,Board book,US$10.52,US$10.52
989,Limitless,Jim Kwik,07 Apr 2020,Hardback,US$24.15,US$26.99
990,Cracking the Coding Interview,Gayle Laakmann McDowell,01 Jul 2015,Paperback,US$49.00,US$49.00
991,The Heart of Yoga,T.K.V. Desikachar,09 Nov 1999,Paperback,US$16.37,US$19.95
992,AI 2041,Kai-Fu Lee,16 Sep 2021,Paperback,US$21.86,US$21.86
993,See Inside How Things Work,Conrad Mason,02 Oct 2009,Board book,US$18.46,US$18.46
994,Hokusai: The Great Picture Book of Everything,Timothy Clark,30 Sep 2021,Hardback,US$33.56,US$37.50
995,We're Going on a Bear Hunt,Michael Rosen,01 Oct 1997,Board book,US$8.98,US$8.98
996,The House on Mango Street,Sandra Cisneros,03 Apr 1991,Paperback,US$10.43,US$11.95
997,The Final Empire,Brandon Sanderson,01 Dec 2009,Paperback,US$18.07,US$18.07
998,The Highly Sensitive Person: How to Thrive When the World Overwhelms You,Elaine N. Aron,15 Jun 2017,Paperback,US$15.05,US$16.99
999,"The Boy Who Was Raised as a Dog, 3rd Edition",Bruce D. Perry,31 Aug 2017,Paperback,US$16.35,US$18.99
1000,The Drama of the Gifted Child,Alice Miller,22 Jul 2008,Paperback,US$14.64,US$15.99
1001,The Complete Poetry Of Edgar Allan Poe,Edgar Allan Poe,26 Nov 2009,Paperback,US$5.04,US$5.04
1002,"Bob Books - Set 1: Beginning Readers Box Set Phonics, Ages 4 and Up, Kindergarten (Stage 1: Starting to Read)",John R Maslen,01 May 2006,Paperback,US$17.72,US$17.99
1003,Man and His Symbols,C. G. Jung,01 Jun 1997,Paperback,US$9.31,US$9.31
1004,"Peaceful Parent, Happy Siblings",Dr. Laura Markham,05 May 2015,Paperback,US$15.57,US$17.00
1005,The Red Book,C. G. Jung,01 Oct 2018,Hardback,US$38.08,US$39.95
1006,Bridgerton: The Duke and I (Bridgertons Book 1),Julia Quinn,04 Feb 2021,Paperback,US$15.47,US$15.47
1007,The Forty Rules of Love,Elif Shafak,02 Apr 2015,Paperback,US$12.19,US$12.35
1008,Peppa Pig: The Official Annual 2022,Peppa Pig,02 Sep 2021,Hardback,US$14.08,US$14.08
1009,Oxford Handbook of Clinical Medicine,Ian B. Wilkinson,27 Sep 2017,Paperback,US$45.84,US$45.84
1010,"Elements of Style, The","William Strunk, Jr.",31 Aug 1999,Paperback,US$8.81,US$9.99
1011,The Qur'an,,29 Aug 2008,Paperback,US$11.22,US$12.95
1012,English Pastoral,James Rebanks,02 Sep 2021,Paperback,US$12.89,US$13.72
1013,All the Bright Places,Jennifer Niven,08 Jan 2015,Paperback,US$11.59,US$11.59
1014,Murder Most Unladylike,Robin Stevens,17 Mar 2016,Paperback,US$11.10,US$11.10
1015,Outliers,Malcolm Gladwell,04 Jun 2009,Paperback,US$10.20,US$10.20
1016,The Brain That Changes Itself,Norman Doidge,07 Aug 2008,Paperback,US$17.95,US$17.95
1017,The Old Man and the Sea,Ernest Hemingway,18 Aug 1994,Paperback,US$14.89,US$14.89
1018,Cultish,Amanda Montell,22 Jul 2021,Hardback,US$25.79,US$27.99
1019,The Hard Thing About Hard Things,Ben Horowitz,24 Apr 2014,Hardback,US$24.60,US$29.99
